"State","Year","electricity","auto","ng","food","house_own","house_rent","rPCE"
"Maryland",2021,1382.16,1303.9,882,4275.51875,15496.1345978,17049.0564163333,42167
"Maryland",2022,1520.376,1388.43,1018.2,4723.1,20458.11613045,18442.685203,43510
"North Carolina",2015,1205.6688,761.24,694.2,3109.8,10160.32551278,11373.8331316059,37535
"North Carolina",2016,1193.9736,794.5,678.6,3153.6,10301.1919675942,11686.6650891667,38020
"North Carolina",2017,1191.8472,838.61,797.4,3142.65,10983.2184383375,12129.6776906583,39096
"North Carolina",2018,1203.5424,876.74,726.6,3197.4,12138.7210201875,12676.03711415,39841
"North Carolina",2019,1236.5016,888.86,772.8,3363.7305,12067.4500834812,13365.59852705,41126
"North Carolina",2020,1232.2488,901.25,793.8,3518.7825,11837.0208302,13987.66545035,40869
"North Carolina",2021,1223.7432,926.86,847.2,3898.3095,13262.7264820375,15378.0566479438,43451
"North Carolina",2022,1285.4088,990.34,1032,4352.187,19016.2164664875,17308.354107451,44358
"South Carolina",2015,1322.6208,984.65,757.2,3098.85,10134.125374375,12095.8024447933,37396
"South Carolina",2016,1326.8736,1048.45,757.2,3131.7,10421.6382846375,12179.6524085,38003
"South Carolina",2017,1366.212,1145.15,868.2,3066,11177.5116806875,12730.5753475143,38775
"South Carolina",2018,1324.7472,1230.72,807.6,3142.65,12250.5807995,13312.4326955286,39499
"South Carolina",2019,1346.0112,1248.82,784.2,3297.37826086957,12167.0318831375,13760.8487595036,40536
"South Carolina",2020,1342.8216,1246.61,809.4,3455.43913043478,11868.7711429875,14293.7404926125,40184
"South Carolina",2021,1394.9184,1266.32,857.4,3733.71195652174,13145.9239626375,15757.163076625,42225
"South Carolina",2022,1496.9856,1332.17,940.2,4169.56956521739,18955.1419317,17921.1248194722,43216
"Virginia",2015,1210.9848,849.51,698.4,3317.85,11938.0173843222,11875.6814281286,39076
"Virginia",2016,1222.68,883,652.8,3361.65,12131.0152740889,12233.7685217857,39748
"Virginia",2017,1249.26,920.4,740.4,3317.85,12809.5861257333,12690.0259791143,40576
"Virginia",2018,1263.0816,958.17,702.6,3394.5,14166.0041835444,12924.1156593903,40960
"Virginia",2019,1280.0928,966.99,757.2,3557.43270676692,13921.6633836111,13419.4413970889,42204
"Virginia",2020,1302.42,944.7,763.2,3688.58571428571,13671.3365140889,14093.2140878028,40662
"Virginia",2021,1296.0408,960.51,820.8,4020.70827067669,14910.4995432444,15383.8366084556,43267
"Virginia",2022,1423.6248,1055.3,966,4498.96804511278,20385.5505936667,17121.2502295556,44274
"West Virginia",2015,1063.2,1039.75,628.8,2934.6,6953.2910938,10361.419,37601
"West Virginia",2016,1188.6576,1054.76,555.6,3033.15,6988.14717045,10361.4194773,38862
"West Virginia",2017,1240.7544,1072.14,565.8,2967.45,7243.770676075,9687.926446,39454
"West Virginia",2018,1208.8584,1096.83,590.4,2956.5,7733.348891575,9929.37334155,40227
"West Virginia",2019,1187.5944,1096.1,594,3221.09181818182,7535.961913575,9985.04400275,41131
"West Virginia",2020,1254.576,1064.14,606.6,3308.89090909091,7243.858912025,10274.65070425,40984
"West Virginia",2021,1289.6616,1064.15,627.6,3657.69818181818,7807.2854187,10719.5066245833,41776
"West Virginia",2022,1409.8032,1098.61,724.8,4083.55363636364,10140.01895125,11372.6469165333,43448
"Alabama",2015,1258.8288,877.58,847.8,3197.4,8556.70315735,10439.7851486167,35658
"Alabama",2016,1277.9664,936.97,843.6,3252.15,8663.94178488333,10801.19848825,35943
"Alabama",2017,1350.264,1014.7,967.2,3263.1,9152.49540883333,11236.8819390875,36643
"Alabama",2018,1310.9256,1071.38,913.2,3306.9,9959.91367459167,11602.622322125,38180
"Alabama",2019,1355.58,1094.34,937.8,3431.76268656716,9941.92112531667,12115.5966620375,38717
"Alabama",2020,1357.7064,1078.53,960.6,3553.68358208955,9843.639428425,12652.2880560833,38138
"Alabama",2021,1418.3088,1084.87,943.2,3910.62089552239,10802.3407229,13587.0511369222,41035
"Alabama",2022,1538.4504,1128.28,1041.6,4382.94179104478,14913.8987275917,14864.6371636028,41599
"Kentucky",2015,1066.3896,938.46,652.2,2923.65,8203.24522331667,10098.18823465,36644
"Kentucky",2016,1087.6536,977.71,608.4,2956.5,8320.87651308333,10495.7205944,37377
"Kentucky",2017,1131.2448,1043.82,697.2,2912.7,9051.750961,10773.9587405167,38270
"Kentucky",2018,1109.9808,1101.05,633.6,2934.6,9929.88748991667,10245.6461105333,39539
"Kentucky",2019,1131.2448,1096.3,651,3119.19875,10008.57871495,10247.28272618,39607
"Kentucky",2020,1151.4456,1059.44,668.4,3182.07,9809.450011,10569.59695162,39199
